Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C5, C6",0402,4,4.7u,
"C10, C12, C13, C14, C17, C4, C7, C8, C9",0402,9,100n,
"C15, C16",0402,2,15p,
"C19, C2, C21",0805,3,10u,
"J1, J2",Custom_Harwin_M20-89010xx_1x10_P2.54mm_Horizontal,2,Conn_01x10_Pin,
L1,L_pol_2016,1,3.3u,
P1,USB_C_Plug_Molex_105444,1,USB_C_Plug_USB2.0,
R1,0402,1,33,
"R2, R3",0402,2,27,
R4,0603,1,5.1k,
"R5, R7",0402,2,DNF,
R6,0402,1,0,
R8,0402,1,1k,
"TP1, TP2, TP3, TP4",TestPoint_Pad_1.5x1.5mm,4,TestPoint,
U1,RP2350-QFN-60-1EP_7x7_P0.4mm_EP3.4x3.4mm_ThermalVias,1,RP2350_60QFN,
U2,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm,1,W25Q128JVS,
U4,SOT-23-5,1,AP2127K-3.3,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,ABM8-272-T3,
