Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7u","C_0402_1005Metric_small_pads",90.225000,-67.850000,90.000000,top
"C2","10u","C_0805_2012Metric",108.325000,-59.600000,0.000000,top
"C3","4.7u","C_0402_1005Metric_small_pads",92.865000,-67.350000,90.000000,top
"C4","100n","C_0402_1005Metric",107.525000,-62.950000,90.000000,top
"C5","4.7u","C_0402_1005Metric",95.325000,-64.100000,90.000000,top
"C6","4.7u","C_0402_1005Metric",106.525000,-62.950000,90.000000,top
"C7","100n","C_0402_1005Metric",105.525000,-62.950000,90.000000,top
"C8","100n","C_0402_1005Metric",98.750000,-70.550000,-90.000000,top
"C9","100n","C_0402_1005Metric",100.425000,-64.050000,180.000000,top
"C10","100n","C_0402_1005Metric",106.075000,-64.500000,0.000000,top
"C12","100n","C_0402_1005Metric",111.580000,-70.850000,0.000000,top
"C13","100n","C_0402_1005Metric",109.975000,-78.550000,90.000000,top
"C14","100n","C_0402_1005Metric",101.075000,-62.900000,180.000000,top
"C15","15p","C_0402_1005Metric",111.755000,-60.900000,90.000000,top
"C16","15p","C_0402_1005Metric",111.405000,-66.810000,0.000000,top
"C17","100n","C_0402_1005Metric",95.275000,-68.950000,0.000000,top
"C19","10u","C_0805_2012Metric",91.575000,-56.950000,90.000000,top
"C21","10u","C_0805_2012Metric",93.525000,-61.350000,90.000000,top
"J2","Conn_01x10_Pin","Harwin_M20-89010xx_1x10_P2.54mm_Horizontal",101.075000,-88.575000,-90.000000,top
"L1","3.3u","L_pol_2016",95.045000,-67.160000,90.000000,top
"P1","USB_C_Plug_USB2.0","USB_C_Plug_Molex_105444",101.075000,-57.000000,0.000000,top
"R1","33","R_0402_1005Metric",93.025000,-64.600000,0.000000,top
"R2","27","R_0402_1005Metric",98.025000,-68.950000,0.000000,top
"R3","27","R_0402_1005Metric",98.025000,-67.900000,0.000000,top
"R4","5.1k","R_0603_1608Metric",97.225000,-60.400000,180.000000,top
"R5","DNF","R_0402_1005Metric",93.075000,-68.950000,180.000000,top
"R6","0","R_0402_1005Metric",99.475000,-75.400000,-90.000000,top
"R7","DNF","R_0402_1005Metric",101.525000,-75.350000,-90.000000,top
"R8","1k","R_0402_1005Metric",109.975000,-67.750000,90.000000,top
"U1","RP2350_60QFN","RP2350-QFN-60-1EP_7x7_P0.4mm_EP3.4x3.4mm_ThermalVias",104.275000,-69.650000,90.000000,top
"U2","W25Q128JVS","WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm",95.525000,-72.850000,90.000000,top
"U4","AP2127K-3.3","SOT-23-5",90.637500,-61.200000,-90.000000,top
"Y1","ABM8-272-T3","Crystal_SMD_3225-4Pin_3.2x2.5mm",110.655000,-64.430000,180.000000,top
